dimension,value,count
difficulty,easy,5
difficulty,hard,23
difficulty,medium,22
hardness_score,11,3
hardness_score,12,5
hardness_score,3,3
hardness_score,4,2
hardness_score,5,4
hardness_score,6,10
hardness_score,7,8
hardness_score,8,9
hardness_score,9,6
hardness_tag,citation_preservation,45
hardness_tag,content_transformation,7
hardness_tag,long_deck,50
hardness_tag,relative_position,16
hardness_tag,semantic_title_destination,16
hardness_tag,semantic_title_target,42
hardness_tag,similar_title_distractor,24
hardness_tag,trivial_operation_penalty,12
rewrite_type,content_edit_wording_strengthened,7
rewrite_type,destination_number_to_unique_title,16
rewrite_type,limited_title_agenda_distractor,24
rewrite_type,preservation_constraints_added,45
rewrite_type,target_number_to_unique_title,42
deck_slide_count,10,14
deck_slide_count,11,14
deck_slide_count,9,22
