model,task_id,output_file_exists,json_valid,schema_valid,api_call_valid,api_call_correct,slide_target_valid,slide_target_correct,argument_complete,traceability_complete,replay_applicable,replay_check_skipped,replay_success,validation_passed,error_message
gold_final_50,final_001,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_002,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_003,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_004,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_005,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_006,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_007,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_008,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_009,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_010,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_011,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_012,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_013,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_014,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_015,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_016,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_017,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_018,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_019,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_020,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_021,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_022,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_023,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_024,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_025,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_026,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_027,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_028,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_029,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_030,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_031,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_032,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_033,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_034,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_035,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_036,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_037,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_038,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_039,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_040,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_041,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_042,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_043,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_044,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_045,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_046,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_047,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_048,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_049,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_final_50,final_050,true,true,true,true,true,true,true,true,true,true,false,true,true,
