model,task_id,output_file_exists,json_valid,schema_valid,api_call_valid,api_call_correct,slide_target_valid,slide_target_correct,argument_complete,traceability_complete,replay_applicable,replay_check_skipped,replay_success,validation_passed,error_message
gold_hard_single_50,hard_single_001,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_002,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_003,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_004,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_005,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_006,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_007,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_008,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_009,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_010,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_011,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_012,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_013,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_014,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_015,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_016,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_017,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_018,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_019,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_020,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_021,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_022,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_023,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_024,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_025,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_026,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_027,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_028,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_029,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_030,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_031,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_032,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_033,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_034,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_035,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_036,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_037,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_038,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_039,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_040,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_041,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_042,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_043,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_044,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_045,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_046,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_047,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_048,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_049,true,true,true,true,true,true,true,true,true,true,false,true,true,
gold_hard_single_50,hard_single_050,true,true,true,true,true,true,true,true,true,true,false,true,true,
